Title,Year,ISSN,DOI,Link
AI-Assisted E2E Network Slicing for Integrated Sensing and Communication in 6G Networks,2024,23274662,10.1109/JIOT.2023.3326761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176288170&doi=10.1109%2fJIOT.2023.3326761&partnerID=40&md5=1380153932ecc66ca7cd0414ab031b86
Optimizing data transmission in 6G software defined networks using deep reinforcement learning for next generation of virtual environments,2024,20452322,10.1038/s41598-024-75575-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207986991&doi=10.1038%2fs41598-024-75575-y&partnerID=40&md5=7f2e25353d7422628c74528b01f4c672
Intelligent Road Network Management Supported by 6G and Deep Reinforcement Learning,2024,15249050,10.1109/TITS.2024.3451193,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204973002&doi=10.1109%2fTITS.2024.3451193&partnerID=40&md5=7461291e34d47e992dad9f723d8e1740
"Deep Learning Based Energy, Spectrum, and SINR-Margin Tradeoff Enabled Resource Allocation Strategies for 6G",2024,21693536,10.1109/ACCESS.2024.3404473,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194104059&doi=10.1109%2fACCESS.2024.3404473&partnerID=40&md5=5e938bf295098404840b0d1d5fb01c8a
Federated Deep Reinforcement Learning for Open RAN Slicing in 6G Networks,2023,01636804,10.1109/MCOM.007.2200555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146237437&doi=10.1109%2fMCOM.007.2200555&partnerID=40&md5=b1aea8c1374ac2e38e66bc106e297205
Machine Learning-Based Channel Quality Prediction in 6G Mobile Networks,2023,01636804,10.1109/MCOM.001.2200305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166732755&doi=10.1109%2fMCOM.001.2200305&partnerID=40&md5=3dd4eaafb79c674eaca36558f170161b
Deep Reciprocity Calibration for TDD mmWave Massive MIMO Systems Toward 6G,2024,15361276,10.1109/TWC.2024.3400616,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194045265&doi=10.1109%2fTWC.2024.3400616&partnerID=40&md5=0ad794ccd2c3b59b6abd573846ca3d61
Toward Reinforcement-Learning-Based Intelligent Network Control in 6G Networks,2023,08908044,10.1109/MNET.003.2200641,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176283219&doi=10.1109%2fMNET.003.2200641&partnerID=40&md5=79edaf0126c2b11c9e4c29316cf5c9cf
Multiagent Reinforcement Learning-Based Cooperative Multitype Task Offloading Strategy for Internet of Vehicles in B5G/6G Network,2023,23274662,10.1109/JIOT.2023.3245721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149387253&doi=10.1109%2fJIOT.2023.3245721&partnerID=40&md5=78c47391cac7c6ed5fd8ef540436b9ef
A GAN-GRU Based Space-Time Predictive Channel Model for 6G Wireless Communications,2024,00189545,10.1109/TVT.2024.3367386,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187349882&doi=10.1109%2fTVT.2024.3367386&partnerID=40&md5=5d44a264d2c9f9f385a5bbf37a121c9a
Machine Learning for 6G Enhanced Ultra-Reliable and Low-Latency Services,2023,15361284,10.1109/MWC.006.2200407,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156089018&doi=10.1109%2fMWC.006.2200407&partnerID=40&md5=8f33e562de7ff79fbda208314beddf69
CAIN: An energy-aware and intelligent increasing coverage area routing protocol for future 6G networks,2023,13891286,10.1016/j.comnet.2023.109733,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152101735&doi=10.1016%2fj.comnet.2023.109733&partnerID=40&md5=dcbda24800889aeca764f8dd46d894b6
Federated Learning for Intelligent Transmission with Space-Air-Ground Integrated Network toward 6G,2023,08908044,10.1109/MNET.104.2100615,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135740175&doi=10.1109%2fMNET.104.2100615&partnerID=40&md5=aa9f90c0ad35ebbbd8f38f556b65d6d2
Multi-Process Federated Learning With Stacking for Securing 6G-V2X Network Slicing at Cross-Borders,2024,15249050,10.1109/TITS.2024.3367388,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187006638&doi=10.1109%2fTITS.2024.3367388&partnerID=40&md5=1d0cfde5bfa21cd1ddf205745245fded
On the Specialization of FDRL Agents for Scalable and Distributed 6G RAN Slicing Orchestration,2023,00189545,10.1109/TVT.2022.3218158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141636939&doi=10.1109%2fTVT.2022.3218158&partnerID=40&md5=435c2aa5324b97244c5b26aaced9bcc9
The Hexa-X Project Vision on Artificial Intelligence and Machine Learning-Driven Communication and Computation Co-Design for 6G,2023,21693536,10.1109/ACCESS.2023.3287939,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162908507&doi=10.1109%2fACCESS.2023.3287939&partnerID=40&md5=7280d87fe0a290e4236b489a4d219d64
Accelerating Reinforcement Learning via Predictive Policy Transfer in 6G RAN Slicing,2023,19324537,10.1109/TNSM.2023.3258692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164223042&doi=10.1109%2fTNSM.2023.3258692&partnerID=40&md5=9c7517b120ae48c91549b928c8dddb5a
"Machine Learning Empowered Emerging Wireless Networks in 6G: Recent Advancements, Challenges and Future Trends",2023,21693536,10.1109/ACCESS.2023.3302250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166765847&doi=10.1109%2fACCESS.2023.3302250&partnerID=40&md5=ed6029e18f97816de0469cd789ea7390
Swarm Learning-Based Dynamic Optimal Management for Traffic Congestion in 6G-Driven Intelligent Transportation System,2023,15249050,10.1109/TITS.2023.3234444,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147266919&doi=10.1109%2fTITS.2023.3234444&partnerID=40&md5=a1c38dd60dc5d40338adb52dddd9c0bb
D-RAN: A DRL-Based Demand-Driven Elastic User-Centric RAN Optimization for 6G & Beyond,2023,23327731,10.1109/TCCN.2022.3217785,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141470077&doi=10.1109%2fTCCN.2022.3217785&partnerID=40&md5=1326b0a165ba5d7748c4f7e66b0e2e1b
Beyond Complexity Limits: Machine Learning for Sidelink-Assisted mmWave Multicasting in 6G,2024,00189316,10.1109/TBC.2024.3382959,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192207528&doi=10.1109%2fTBC.2024.3382959&partnerID=40&md5=1d79220c88c5137d9a519dcde838bf28
Multimodal semantic communication accelerated bidirectional caching for 6G MEC,2023,0167739X,10.1016/j.future.2022.10.036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141754834&doi=10.1016%2fj.future.2022.10.036&partnerID=40&md5=c50d91b88546158c69e84c934d5bb7c4
An Efficient 6G Federated Learning-enabled Energy-Efficient Scheme for UAV Deployment,2024,00189545,10.1109/TVT.2024.3390226,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190716111&doi=10.1109%2fTVT.2024.3390226&partnerID=40&md5=1809de1e1c330f970268b79ed811835d
SliceOps: Explainable MLOps for Streamlined Automation-Native 6G Networks,2024,15361284,10.1109/MWC.007.2300144,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188739082&doi=10.1109%2fMWC.007.2300144&partnerID=40&md5=f37dba19c6fb85d55bba26581fdf5ec8
Federated Reinforcement Learning-Based Resource Allocation in D2D-Enabled 6G,2023,08908044,10.1109/MNET.122.2200102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137907608&doi=10.1109%2fMNET.122.2200102&partnerID=40&md5=e177aa7aff2736fcf5a7cd197ab62173
Multi-Agent Reinforcement Learning for Dynamic Resource Management in 6G in-X Subnetworks,2023,15361276,10.1109/TWC.2022.3207918,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139502837&doi=10.1109%2fTWC.2022.3207918&partnerID=40&md5=e9f567ae55316c9e5e0f2f150928db14
Opportunistic capacity based resource allocation for 6G wireless systems with network slicing,2023,0167739X,10.1016/j.future.2022.10.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142185340&doi=10.1016%2fj.future.2022.10.032&partnerID=40&md5=1f13a8b112748b64098c681078cbf585
Efficient resource management in 6G communication networks using hybrid quantum deep learning model,2023,00457906,10.1016/j.compeleceng.2022.108565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145781455&doi=10.1016%2fj.compeleceng.2022.108565&partnerID=40&md5=f65cdd827b6993a3d1f59490c91f7fca
An island detection approach in 6G paradigm for an active distribution network – A future perspective for next generation smart grids,2023,00457906,10.1016/j.compeleceng.2023.108932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169810525&doi=10.1016%2fj.compeleceng.2023.108932&partnerID=40&md5=9e0aca79907ab390e681fc7ac88f9955
Empowering Traffic Steering in 6G Open RAN With Deep Reinforcement Learning,2024,15361276,10.1109/TWC.2024.3396273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192753399&doi=10.1109%2fTWC.2024.3396273&partnerID=40&md5=b1d60ef0f772918f4cc735dc0626b926
Federated Reinforcement Learning-Based Resource Allocation for D2D-Aided Digital Twin Edge Networks in 6G Industrial IoT,2023,15513203,10.1109/TII.2022.3227655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144780262&doi=10.1109%2fTII.2022.3227655&partnerID=40&md5=aaf8e5216c6cc8d25d732e4581b3b574
Machine Learning-Aided Real-Time Optimized Multibeam for 6G Integrated Satellite-Terrestrial Networks: Global Coverage for Mobile Services,2023,08908044,10.1109/MNET.003.2200275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172417068&doi=10.1109%2fMNET.003.2200275&partnerID=40&md5=102af315a525ed9042a372988bf3a1b4
Resource Allocation Based on Radio Intelligence Controller for Open RAN Toward 6G,2023,21693536,10.1109/ACCESS.2023.3311888,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171526174&doi=10.1109%2fACCESS.2023.3311888&partnerID=40&md5=1cb3166cebab495cd287446f21c5bcb8
Load-Balanced Virtual Network Embedding Based on Deep Reinforcement Learning for 6G Regional Satellite Networks,2023,00189545,10.1109/TVT.2023.3279625,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161072798&doi=10.1109%2fTVT.2023.3279625&partnerID=40&md5=e2dbeaf724221095a2c22cbbbe5cb83c
6G+ Networks Through Enhanced Efficiency and Sustainability with MADDPG-Driven Network Slicing in SoS Environments,2024,24732400,10.1109/TGCN.2024.3404500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194036066&doi=10.1109%2fTGCN.2024.3404500&partnerID=40&md5=23bfc7ee94edc0c7e36c00198f4f4a59
Creation of 6G Communication System for VANETs via a Neuro-Fuzzy Forwarder Selection Scheme,2024,19391374,10.1109/TSC.2023.3331730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177059441&doi=10.1109%2fTSC.2023.3331730&partnerID=40&md5=b131668e0ecc5db07e74b46e6aef49ca
6G-Assisted UAV-Truck Networks: Toward Efficient Essential Services Delivery,2023,24712825,10.1109/MCOMSTD.0003.2200003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175561675&doi=10.1109%2fMCOMSTD.0003.2200003&partnerID=40&md5=28485c4bd90a88c7a88ceb9e68c8a939
"AI-Enabled Deployment Automation for 6G Space-Air-Ground Integrated Networks: Challenges, Design, and Outlook",2024,08908044,10.1109/MNET.2024.3368753,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186110646&doi=10.1109%2fMNET.2024.3368753&partnerID=40&md5=3162b0ca8d93cebf269f17c2f5c60bfb
Federated Deep Reinforcement Learning for Prediction-Based Network Slice Mobility in 6G Mobile Networks,2024,15361233,10.1109/TMC.2024.3404125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194069193&doi=10.1109%2fTMC.2024.3404125&partnerID=40&md5=a34fd14eeee0f6aaf9f8ec3fe869c2ea
Multi-Dimensional Resource Orchestration Toward Edge Intelligence in 6G Networks,2023,01636804,10.1109/MCOM.005.2200905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168270449&doi=10.1109%2fMCOM.005.2200905&partnerID=40&md5=678b764f9bdb7c0d7141acafc2eeb296
AI-Assisted Service Virtualization and Flow Management Framework for 6G-Enabled Cloud-Software-Defined Network-Based IoT,2022,23274662,10.1109/JIOT.2021.3077895,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105877729&doi=10.1109%2fJIOT.2021.3077895&partnerID=40&md5=43129fd01c36f2a536ed06340e8bb00c
Network Slicing with Centralized and Distributed Reinforcement Learning for Combined Satellite/Ground Networks in a 6G Environment,2022,15361284,10.1109/MWC.001.2100287,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128551116&doi=10.1109%2fMWC.001.2100287&partnerID=40&md5=ca9bb29c43d93740ca5804774bd4a996
Eco-Friendly Disaster Evacuation Framework for 6G Connected and Autonomous Vehicular Networks,2022,24732400,10.1109/TGCN.2022.3163764,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127471506&doi=10.1109%2fTGCN.2022.3163764&partnerID=40&md5=8ad56a7ebc4e7799f761f31afbdcfc03
"Machine Learning for 6G Wireless Networks: Carrying Forward Enhanced Bandwidth, Massive Access, and Ultrareliable/Low-Latency Service",2020,15566072,10.1109/MVT.2020.3019650,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091891770&doi=10.1109%2fMVT.2020.3019650&partnerID=40&md5=11184809f5c54b21c4a2f571f39e1a1b
Beyond D2D: Full Dimension UAV-to-Everything Communications in 6G,2020,00189545,10.1109/TVT.2020.2984624,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087333673&doi=10.1109%2fTVT.2020.2984624&partnerID=40&md5=cda073f6f0ff27aebec13076f8678679
A novel Distributed AI framework with ML for D2D communication in 5G/6G networks,2022,13891286,10.1016/j.comnet.2022.108987,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129935577&doi=10.1016%2fj.comnet.2022.108987&partnerID=40&md5=adec9a06ac5dcdb091cabe07777c3241
Channel Estimation for 6G V2X Hybrid Systems Using Multi-Vehicular Learning,2021,21693536,10.1109/ACCESS.2021.3095121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110677862&doi=10.1109%2fACCESS.2021.3095121&partnerID=40&md5=d4f1a0016e48d95423fff098025a61fa
Customized Slicing for 6G: Enforcing Artificial Intelligence on Resource Management,2021,08908044,10.1109/MNET.011.2000644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103262310&doi=10.1109%2fMNET.011.2000644&partnerID=40&md5=694e01f0cd4601ab475250f90bacca4e
